serial_fssai,ins_no,e_number,name_english,name_hindi,functional_class,harm_level_1to4,harm_severity,color_code,harm_reason,revant_concern,fssai_permitted,source
127,266,E266,Sodium dehydroacetate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
128,270,E270,"Lactic acid (L-, D—and Dl-)",,Acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
129,280,E280,Propionic acid,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
130,281,E281,Sodium propionate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
131,282,E282,Calcium propionate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
132,283,E283,Potassium propionate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
133,290,E290,Carbon dioxide,,"Carbonating agent, Packing agent",1,LOW,GREEN,Provides CO2; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
134,296,E296,Malic acid (DL-L-),,"Acidity regulator, flavouring agent.",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
135,297,E297,Fumaric acid,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
136,300,E300,Ascorbic acid (L),,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
137,301,E301,Sodium ascorbate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
138,302,E302,Calcium ascorbate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
139,303,E303,Potassium ascorbate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
140,304,E304,Ascorbyl palmitate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
141,305,E305,Ascorbyl stearate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
142,306,E306,Mixed tocopherols,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
143,307,E307,Alpha-tocopherol,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
144,308,E308,Synthetic gamma-tocopherol,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
145,309,E309,Synthetic delta-tocopherol,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
146,310,E310,Propyl gallate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
147,311,E311,Octyl gallate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
148,312,E312,Dodecyl gallate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
149,313,E313,Ethyl gallate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
150,314,E314,Guaiac resin,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
151,315,E315,Isoascorbic acid,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
152,316,E316,Sodium isoascorbate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
153,317,E317,Potassium isoascorbate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
154,318,E318,Calcium isoascrobate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
155,319,E319,Tertiary butylhydroquinone,TBHQ,Antioxidant,4,HIGH,RED,TBHQ - antioxidant in fried foods and oils; immune system effects; restricted in Japan; found in instant noodles,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
156,320,E320,Butylated hydroxyanisole,BHA,Antioxidant,4,HIGH,RED,BHA - IARC Group 2B possible carcinogen; endocrine disruptor; found in packaged baked goods,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
157,321,E321,Butylated hydroxytoluene,BHT,Antioxidant,3,MEDIUM-HIGH,ORANGE,BHT - potential carcinogen; banned in several countries; found in packaged foods,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
158,322,E322,Lecithins,,"Antioxidant, emulsifier",1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
159,323,E323,Anoxomer,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
160,324,E324,Ethoxyquin,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
161,325,E325,Sodium lactate,,"antioxidant, synergist, humectant, bulking, agent",1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
162,326,E326,Potassium lactate,,"antioxidant, synergist, acidity Regulator",1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
163,327,E327,Calcium lactate,,"acidity regulator, flour treatment agent",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
164,328,E328,Ammonium lactate,,"acidity regulator, flour treatment agent",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
165,329,E329,"Magnesium lactate (D-,L-)",,"acidity regulator, flour treatment agent",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
166,330,E330,Citric acid,,"acidity regulator, synergist for Sequestrant",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
169,331,E331,331(i),,331(ii),1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
171,332,E332,Potassium citrates,,"acidity regulator, sequestrant, Stabilizer",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
172,332(i),E332(i),Potassium dihydrogen citrate,,"acidity regulator, sequestrant, Stabilizer",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
173,332(ii),E332(ii),Tripotassium citrate,,"acidity regulator, sequestrant, Stabilizer",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
174,333,E333,175.,,334,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
175,334,E334,Tartaric acid [L(+)-],,"acidity regulator, sequestrant, antioxidant, synergist",1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
176,335,E335,Sodium tartrates,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
177,335(i),E335(i),Monosodium tartrate,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
178,335(ii),E335(ii),Disodium tartrate,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
179,336,E336,Potassium tartrate,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
180,336(i),E336(i),Monopotassium tartrate,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
181,336(ii),E336(ii),Dipotassium tartrate,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
182,337,E337,Potassium sodium tartrate,,"Stabilizer, sequestrant",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
183,338,E338,Orthophosphoric acid,,"acidity regulator, antioxidant Synergist",1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
186,339,E339,339(i),,339(ii),1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
188,340,E340,Potassium Phosphates,,"acidity regulator, texturizer, sequestrant,, stabilizer, Emulsifier, water retention",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
189,340(i),E340(i),Monopotassium orthophosphate,,"acidity regulator, texturizer",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
190,340(ii),E340(ii),191. 340(iii),,,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
194,341,E341,341(i),,341(ii),1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
196,342,E342,Ammonium phosphates,,"treatment agent, acidity regulator, flour",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
197,342(i),E342(i),Monoamonium orthophosphate,,"treatment agent, acidity regulator, flour",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
198,342(ii),E342(ii),Diammonium orthophosphate,,"treatment agent, acidity regulator, anticaking",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
199,343,E343,Magnesium phosphates,,Agent,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
200,343(i),E343(i),Monomagnesium orthophosphate,,"acidity regulator, anticaking",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
201,343(ii),E343(ii),Dimagnesium orthophosphate,,"Agent, acidity regulator, anticaking",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
203,344,E344,Lecithin citrate,,Preservative,3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
204,345,E345,Magnesium citrate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
205,349,E349,Ammonium malate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
206,350,E350,Sodium malates,,"acidity regulator, humectant",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
207,350(i),E350(i),Sodium hydrogen malate,,"acidity regulator, humectant",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
208,350(ii),E350(ii),Sodium malate,,"acidity regulator, humectant",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
209,351,E351,Potassium malates.,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
210,351(i),E351(i),Potassium hydrogen malate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
211,351(ii),E351(ii),Potassium malate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
212,352,E352,Calcium malates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
213,352(i),E352(i),Calcium hydrogen malate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
214,352(ii),E352(ii),Calcium malate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
215,353,E353,Metatartaric acid,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
216,354,E354,Calcium tartrate,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
217,355,E355,Adipic acid,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
218,356,E356,Sodium adipates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
219,357,E357,Potassium adipates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
220,359,E359,Ammonium adipates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
221,363,E363,Succinic acid,,"acidity regulator, acidity regulator, flavour",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
222,364(i),E364(i),Monosodium succinate,,,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
223,364(ii),E364(ii),Disodium succinate,,Enhancer,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
224,365,E365,Sodium fumarates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
225,366,E366,Potassium fumarates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
226,367,E367,Calcium fumarates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
227,368,E368,Ammonium fumarates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
228,370,E370,"1, 4-Heptonolactone",,"acidity regulator, sequestrant",1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
229,375,E375,Nicotinic acid,,Colour retention agent,3,MEDIUM-HIGH,ORANGE,Artificial colour; potential hyperactivity risk in children (EFSA warning),YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
230,380,E380,Ammonium citrates,,acidity regulator,1,LOW,GREEN,Controls pH; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
231,381,E381,Ferric ammonium citrate,,"anticaking agent, Thickener, gelling agent",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
232,383,E383,Calcium glycerophosphate,,"Stabilizer, Antioxidant, Preservative",3,MEDIUM-HIGH,ORANGE,Chemical preservative; some linked to gut microbiome disruption,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
234,384,E384,Isopropyl citrates,,385,1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
235,386,E386,acetate,,Sequestrant,1,LOW,GREEN,Binds metal ions; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
236,387,E387,Oxy stearin,,"Antioxidant, sequestrant",1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
237,388,E388,Thiodipropionic acid,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
238,389,E389,Dilauryl thiodipropionate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
239,390,E390,Distearyl thiodipropionate,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
240,391,E391,Phytic acid,,Antioxidant,1,LOW,GREEN,Prevents oxidation; generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
241,399,E399,Calcium lactobionate,,Stabilizer,1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
242,400,E400,Alginic acid,,"Thickener, stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
243,401,E401,Sodium alginate,,"Thickener, stabilizer, gelling",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
244,402,E402,Potassium alginate,,"Thickener, stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
245,403,E403,Ammonium alginate,,"Thickener, stabilizer, Thickener, stabilizer, gelling",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
246,404,E404,Calcium alginate,,"Agent, antifoaming agent",1,LOW,GREEN,Permitted by FSSAI; generally considered safe at regulated levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
247,405,E405,Propylene glycol alginate,,"Thickener, emulsifier",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
248,406,E406,Agar,,"Thickener, gelling agent, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
249,407,E407,NH4 salts (includes furcellaran),कैरेजेनन,Stabilizer,3,MEDIUM-HIGH,ORANGE,Carrageenan - some studies link to gut inflammation; degraded form (poligeenan) is carcinogenic,YES,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
250,407a,E407a,Processed Euchema Seaweed (PES),,"Thickener, stabilizer, Thickener, gelling agent",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
251,408,E408,Bakers yeast glycan,,"Stabilizer, Thickener, gelling agent",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
252,409,E409,Arabinogalactan,,Stabilizer,1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
253,410,E410,Carob bean gum,,"Thickener, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
254,411,E411,Oat gum,,"Thickener, Stabilizer, Thickener, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
255,412,E412,Guar gum,,"Emulsifier, Thickener, Stabilizer",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
256,413,E413,Tragacanth gum,,Emulsifier,2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
257,414,E414,Gum arabic (acacia gum),,"Thickener, Stabilizer, Thickener, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
258,415,E415,Xanthan gum,,"emulsifier, foaming agent",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
259,416,E416,Karaya gum,,"Thickener, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
260,417,E417,Tara gum,,"Thickener, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
261,418,E418,Gellan gum,,"Thickener, Stabilizer, gelling",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
262,419,E419,Gum ghatti,,"Emulsifier, Sweetener, Humectant",1,LOW-MEDIUM,YELLOW,Gum ghatti - natural gum from Anogeissus tree; thickener/stabilizer; safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
263,420,E420,Sorbitol and sorbitol syrup,,Emulsifier,2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
264,421,E421,Mannitol,,"Sweetener, anticaking agent",2,LOW-MEDIUM,YELLOW,Mannitol - sugar alcohol from plants; laxative effect at high doses; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
265,422,E422,Glycerol,,"Humectant, bodying agent",1,LOW,GREEN,Retains moisture; generally safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
266,424,E424,Curd lan,,"Thickener, Stabilizer",1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
267,425,E425,Konjac flour,,Thickener,1,LOW,GREEN,Generally from natural sources; considered safe,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
268,429,E429,Peptones,,Emulsifier,2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
269,430,E430,Polyoxyethylene (8) stearate,,Emulsifier,2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
270,431,E431,Polyoxyethylene (40) stearate,,Emulsifier,2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
271,432,E432,Monolaurate,,"Emulsifier, dispersing agent",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
272,433,E433,Monoleate,,"Emulsifier, dispersing agent",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
273,434,E434,Monopalmitate,,"Emulsifier, dispersing agent",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
274,435,E435,Monostearate,,"Emulsifier, dispersing agent",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
275,436,E436,Tristearate,,"Emulsifier, dispersing agent, Thickener, emulsifier",2,LOW-MEDIUM,YELLOW,Some emulsifiers linked to gut inflammation at high doses,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
276,440,E440,Pectins,,"Stabilizer, gelling agent",1,LOW,GREEN,Generally safe at permitted levels,NO,YES,"FSSAI Food Additives Regulations 2011 (Version XII, 08.09.2020)"
